game,difficulty,model,model_short,timestamp,run_id,repeat,dimension,indicator,score,max_score,normalized
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,window_creation,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Executability,process_controllability,1.0,1.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Functionality,rule_completeness,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Functionality,state_evolution,1.0,2.0,0.5
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Functionality,interaction_validity,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Functionality,goal_feedback_alignment,2.0,2.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Functionality,constraint_termination,1.0,2.0,0.5
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,modularity,7.0,20.0,0.35
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,reuse,17.0,20.0,0.85
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,naming,15.0,15.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,comments,0.0,15.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,constants,0.0,15.0,0.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,Code Quality,complexity,5.0,15.0,0.3333333333333333
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,UX,visual,25.0,25.0,1.0
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,UX,smoothness,25.0,35.0,0.7142857142857143
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,UX,balance,12.0,20.0,0.6
snake,easy,amazon.nova-pro-v1:0,Nova Pro,20260430_110524,20260430_110524,1,UX,audio_animation,8.0,20.0,0.4
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,python_syntax_correct,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,short_runtime_stable,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,dependency_initialization_complete,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,window_creation,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,event_handling_mechanism,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Executability,process_controllability,1.0,1.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Functionality,rule_completeness,2.0,2.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Functionality,state_evolution,1.0,2.0,0.5
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Functionality,interaction_validity,2.0,2.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Functionality,goal_feedback_alignment,2.0,2.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Functionality,constraint_termination,1.0,2.0,0.5
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,modularity,17.0,20.0,0.85
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,reuse,20.0,20.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,naming,15.0,15.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,comments,5.0,15.0,0.3333333333333333
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,constants,5.0,15.0,0.3333333333333333
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,Code Quality,complexity,10.0,15.0,0.6666666666666666
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,UX,visual,25.0,25.0,1.0
snake,easy,deepseek.v3.2,DeepSeek V3.2,20260430_110524,20260430_110524,1,UX,smoothness,25.0,35.0,0.7142857142857143
